sku,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visibility,price,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,qty,is_in_stock,website_id,additional_images,additional_image_labels,njm_sku,njm_name,dimensions
mf-000490,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany dining chair,"<p>This is our reproduction prouve standard chair. Chairs take the most strain on their back legs, where they bear the weight of their users upper body. Prouve took this into account very succinctly in Standard Chair. Tubular steel piping is enough for the front legs that take relatively little strain, whereas the back legs are made of voluminous hollow sections and pass the strain on to the floor.</p>
<p>Reminiscent of a 1950's school chair, this curious chair is both a delight from a design perspective and its practical function. A mid-century design that is both classic and modern, comfortable and simple. Natural hardwood back and seat. Powder-coated steel frame and wood seat. The seat can also be finished in leather or fabric with a cushioned seat lending a more finished look and added comfort.</p>",30,1,Taxable Goods,"Catalog, Search",269,Albany-dining-chair.jpg,,Albany-dining-chair.jpg,,Albany-dining-chair.jpg,,1000,1,0,"Albany-dining-chair1.jpg,Albany-dining-chair2.jpg,Albany-dining-chair3.jpg,Albany-dining-chair4.jpg,Albany-dining-chair5.jpg",,16M-EEI-214,prouve standard chair,"16.5""L x 19""W x 32""H
<br />Seat Height: 18.5""H"
cs-000164,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany director armchair - black,"Our replica prouve bridge director armchair is crafted from a thickly padded seat and back covered with smooth, black polyurethane leatherette. Its legs and arms are stainless steel finished in black, and solid walnut hardwood details the floating armrests. This eye-catching chair will work equally well in modern office or home seating areas.",15.4,1,Taxable Goods,"Catalog, Search",649,Albany-director-armchair-black.jpg,,Albany-director-armchair-black.jpg,,Albany-director-armchair-black.jpg,,1000,1,0,"Albany-director-armchair-black1.jpg,Albany-director-armchair-black2.jpg,Albany-director-armchair-black3.jpg,Albany-director-armchair-black4.jpg",,03C-S-FX852BLAC,prouve bridge director armchair - black,"33""H x 25.25""W x 26.4""D <br />Seat Height: 17.5"""
wi-001090,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany director armchair - white,"<p>A fusion of varying materials makes our replica prouve bridge director chair a modern work of art. This stunner features a black steel frame, white faux leather, and ash wood armrests. Non-marking feet and foam cushions finish it off. We love this piece not only as a living room chair but as a waiting room chair and office chair. The director chair is fully assembled and should be wiped clean with a damp cloth.</p>
<p>Features:</p>
<ul>
<li>Mid-century modern accent chair</li>
<li>Black steel frame</li>
<li>White faux leather</li>
<li>Wooden armrests made of ash</li>
<li>Polyurethane foam cushioning</li>
<li>Fully assembled</li>
<li>Wipe clean with a damp cloth</li>
</ul>",30,1,Taxable Goods,"Catalog, Search",549,Albany-director-armchair-white.jpg,,Albany-director-armchair-white.jpg,,Albany-director-armchair-white.jpg,,1000,1,0,"Albany-director-armchair-white1.jpg,Albany-director-armchair-white2.jpg,Albany-director-armchair-white3.jpg",,27W-DC-852,prouve bridge director armchair - white,"25.12""W x 24.37""D x 32""H <br />Seat dimension: 19.5""W x 20""D x 18.87""H <br />Arm height: 26.1"" <br />Shipping <br />Package: 33""W x 26""H x 26""D --- 27Lbs</p>"
cs-000165,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair,Default Category/Modern Furniture/Classic Chairs/Lounge Chair",base,Albany lounge chair - black,"This is our reproduction Prouve Fauteuil de Salon lounge chair which combines plain surfaces into a complete architectural form with a comfortable seat and backrest. Thanks to the armrests in solid wood and Prouve's typical philosophy of focusing on design factors, Fauteuil de Salon goes perfectly with other products in the Prouve Replica Collection. <p>Our replica Prouve chair is upholstered in black vinyl with steel and walnut frame and armrests.",50,1,Taxable Goods,"Catalog, Search",769,Albany-lounge-chair-black.jpg,,Albany-lounge-chair-black.jpg,,Albany-lounge-chair-black.jpg,,1000,1,0,"Albany-lounge-chair-black1.jpg,Albany-lounge-chair-black2.jpg,Albany-lounge-chair-black3.jpg,Albany-lounge-chair-black4.jpg,Albany-lounge-chair-black5.jpg",,03C-S-FX88601-B,prouve fauteuil de salon lounge chair - black,"35.50""H x 34.25""W x 31.10""D Seat Height: 16"
cs-000166,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair,Default Category/Modern Furniture/Classic Chairs/Lounge Chair",base,Albany lounge chair - sand,"This is our reproduction Prouve Fauteuil de Salon lounge chair which combines plain surfaces into a complete architectural form with a comfortable seat and backrest. Thanks to the armrests in solid wood and Prouve's typical philosophy of focusing on design factors, Fauteuil de Salon goes perfectly with other products in the Prouve Replica Collection. <p>Our replica Prouve chair is upholstered in sand tweed with steel and walnut and armrests.",50,1,Taxable Goods,"Catalog, Search",769,Albany-lounge-chair-sand.jpg,,Albany-lounge-chair-sand.jpg,,Albany-lounge-chair-sand.jpg,,1000,1,0,"Albany-lounge-chair-sand1.jpg,Albany-lounge-chair-sand2.jpg,Albany-lounge-chair-sand3.jpg",,03C-S-FX88601-S,prouve fauteuil de salon lounge chair - sand,"35.50""H x 34.25""W x 31.10""D Seat Height: 16"
cs-000167,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair,Default Category/Modern Furniture/Classic Chairs/Lounge Chair",base,Albany lounge chair - white,"<p>This is our reproduction Prouve Fauteuil de Salon lounge chair which combines plain surfaces into a complete architectural form with a comfortable seat and backrest. Thanks to the armrests in solid wood and Prouve's typical philosophy of focusing on design factors, Fauteuil de Salon goes perfectly with other products in the Prouve Replica Collection. <p>Our replica Prouve chair is upholstered in white vinyl with steel and frame and ebonized armrests.</p>",50,1,Taxable Goods,"Catalog, Search",769,Albany-lounge-chair-white.jpg,,Albany-lounge-chair-white.jpg,,Albany-lounge-chair-white.jpg,,1000,1,0,"Albany-lounge-chair-white1.jpg,Albany-lounge-chair-white2.jpg,Albany-lounge-chair-white3.jpg",,03C-S-FX88601-W,prouve fauteuil de salon lounge chair - white,"35.50""H x 34.25""W x 31.10""D Seat Height: 16"
cs-000170,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany padded dining chair - beige,"Our prouve-inspired padded standard chair is reminiscent of a 1950's school chair. Its angled lines present a modern-look seating option. The solid frame is welded from industrial power-coated steel, supporting a polyurethane padded seat and back that is upholstered in two neutral color choices. This sturdy chair is suited for either commercial or home use.",13.2,1,Taxable Goods,"Catalog, Search",359,Albany-padded-dining-chair-beige.jpg,,Albany-padded-dining-chair-beige.jpg,,Albany-padded-dining-chair-beige.jpg,,1000,1,0,"Albany-padded-dining-chair-beige1.jpg,Albany-padded-dining-chair-beige2.jpg,Albany-padded-dining-chair-beige3.jpg,Albany-padded-dining-chair-beige4.jpg",,03C-S-FXC595BGE,prouve schoolhouse padded chair - beige,"32.5""H x 20""W x 17""D"
cs-000171,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany padded dining chair - gray,"Our prouve-inspired padded standard chair is reminiscent of a 1950's school chair. Its angled lines present a modern-look seating option. The solid frame is welded from industrial power-coated steel, supporting a polyurethane padded seat and back that is upholstered in two neutral color choices. This sturdy chair is suited for either commercial or home use.",13.2,1,Taxable Goods,"Catalog, Search",359,Albany-padded-dining-chair-gray.jpg,,Albany-padded-dining-chair-gray.jpg,,Albany-padded-dining-chair-gray.jpg,,1000,1,0,"Albany-padded-dining-chair-gray1.jpg,Albany-padded-dining-chair-gray2.jpg,Albany-padded-dining-chair-gray3.jpg,Albany-padded-dining-chair-gray4.jpg",,03C-S-FXC595GRE,prouve schoolhouse padded chair - grey,"32.5""H x 20""W x 17""D"
mf-000365,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Albany stool - natural,"Inspired by the prouve standard chair, this modern counter stool combines a molded bentwood back and waterfall seat, with a fluid form that imbues both an airy and streamlined feel. Its powder coated metal frame is solidly constructed to service your needs time and again from light refreshments, through extended dialogues. ",21,1,Taxable Goods,"Catalog, Search",299,Albany-stool-natural.jpg,,Albany-stool-natural.jpg,,Albany-stool-natural.jpg,,1000,1,0,"Albany-stool-natural1.jpg,Albany-stool-natural2.jpg,Albany-stool-natural3.jpg,Albany-stool-natural4.jpg,Albany-stool-natural5.jpg",,16M-EEI-1063-N,prouve standard stool - natural,"15.5""L x 16.5""W x 39.5""H <br />Backrest Height: 14.5""H <br />Seat Height: 26.5""H</p>"
mf-000366,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Stools and Ottomans",base,Albany stool - walnut,"Inspired by the prouve standard chair, this modern counter stool combines a molded bentwood back and waterfall seat, with a fluid form that imbues both an airy and streamlined feel. Its powder coated metal frame is solidly constructed to service your needs time and again from light refreshments, through extended dialogues.",21,1,Taxable Goods,"Catalog, Search",299,Albany-stool-walnut.jpg,,Albany-stool-walnut.jpg,,Albany-stool-walnut.jpg,,1000,1,0,"Albany-stool-walnut1.jpg,Albany-stool-walnut2.jpg,Albany-stool-walnut3.jpg,Albany-stool-walnut4.jpg,Albany-stool-walnut5.jpg",,16M-EEI-1063-W,prouve standard stool - walnut,"15.5""L x 16.5""W x 39.5""H <br />Backrest Height: 14.5""H <br />Seat Height: 26.5""H</p>"
sbx-000921,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Albany upholstered dining chair,"<p>This is our reproduction upholstered prouve standard chair. Chairs take the most strain on their back legs, where they bear the weight of their users upper body. Prouve took this into account very succinctly in Standard Chair. Tubular steel piping is enough for the front legs that take relatively little strain, whereas the back legs are made of voluminous hollow sections and pass the strain on to the floor.</p>
<p>Reminiscent of a 1950's school chair, this curious chair is both a delight from a design perspective and its practical function. A mid-century design that is both classic and modern, comfortable and simple. Natural hardwood back and seat. Powder-coated steel frame and upholstered seat. The seat can be finished in leather or fabric with a cushioned seat lending a more finished look and added comfort.</p>",30,1,Taxable Goods,"Catalog, Search",549,Albany-upholstered-dining-chair.jpg,,Albany-upholstered-dining-chair.jpg,,Albany-upholstered-dining-chair.jpg,,1000,1,0,"Albany-upholstered-dining-chair1.jpg,Albany-upholstered-dining-chair2.jpg,Albany-upholstered-dining-chair3.jpg,Albany-upholstered-dining-chair4.jpg",,23S-10385,prouve upholstered standard chair,"16.25""W x 20""D x 31.75""H Seat: 16.25""W x 16.5""D x 18.5""H"
sb-000859,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Living Room Chair",base,Albion easy chair,"<p>Our reproduction was inspired by Jean Prouve. Many connoisseurs regard Antony as Prouve's finest design. This chair stands out by virtue of its unconventional construction producing a sturdy yet dynamically curvaceous form. Antony is especially suited for the private sphere, but also finds an appropriate place in waiting areas.</p>",30,1,Taxable Goods,"Catalog, Search",379,Albion-easy-chair.jpg,,Albion-easy-chair.jpg,,Albion-easy-chair.jpg,,1000,1,0,"Albion-easy-chair1.jpg,Albion-easy-chair2.jpg,Albion-easy-chair3.jpg",,22S-10386,prouve style antony chair,
cs-000200,customOptionsSet,simple,"Default Category/Lighting,Default Category/Lighting/Sconces",base,Alden sconce,"This is our reproduction prouve Potence Lamp sconce. Designed in collaboration with Charlotte Perriand for Prouve's Tropique house, the Potence Lamp (1950) provides a unique solution for suspension lighting with its ingenious engineering and elegant form. Consisting of a single metal rod that extends almost 7 feet from a wall-mounted vertical bracket, there is no base to occupy floor space. Wall lamp. Black powder coated steel tube.",10,1,Taxable Goods,"Catalog, Search",489,Alden-sconce.jpg,,Alden-sconce.jpg,,Alden-sconce.jpg,,1000,1,0,"Alden-sconce1.jpg,Alden-sconce2.jpg",,03C-S-LBW012,prouve sconce,"30 1/4""H x 87 1/2""W x 3 1/2""D"
cs-000163,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Classic Chairs,Default Category/Modern Furniture/Classic Chairs/Side and Dining Chair",base,Alexander chair,"This is our reproduction prouve friso kramer plywood revolt chair, designed by Friso Kramer in 1965. Many aspects of the Revolt were regarded as extremely innovative when it was introduced back in 1953 and it has won a permanent place for itself both in the business world and in Dutch living rooms. Powder coated steel with plywood seat and back.",25,1,Taxable Goods,"Catalog, Search",429,Alexander-chair.jpg,,Alexander-chair.jpg,,Alexander-chair.jpg,,1000,1,0,"Alexander-chair1.jpg,Alexander-chair2.jpg",,03C-S-FOC52045,prouve friso kramer plywood revolt chair,"31 1/8""H x 18""W x 18 1/2""D"
mf-000367,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Dining Tables",base,Alexandria dining table,"<p>This is our replica prouve gueridon dining table. A table with distinctive and convincing structural clarity, Gueridon was designed by Prouve for the University of Paris. Manufactured from individual pieces of solid wood with a veneer finish, it gives the impression of both sturdiness and lightness. This table is well suited for both the domestic setting and for the furnishing of cafes and restaurants. Technical description: Solid wood legs, metal rod connectors, lacquered black. Tabletops in natural wood veneers.</p>",75,1,Taxable Goods,"Catalog, Search",979,Alexandria-dining-table.jpg,,Alexandria-dining-table.jpg,,Alexandria-dining-table.jpg,,1000,1,0,"Alexandria-dining-table1.jpg,Alexandria-dining-table2.jpg,Alexandria-dining-table3.jpg,Alexandria-dining-table4.jpg",,16M-EEI-1065,prouve gueridon dining table,"Overall Product 47""L x 47""W x 29""H Table Top Thickness: 1""H"
tf-000983,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Bedroom",base,Allen bed,"Insert some elegance into your master suite with A+D Modern's beautiful Allen velvet bed. Featuring rich velvet upholstery with stylish button tufting on the headboard, its frame is crafted with solid kiln dried wood upon solid ash legs. No box spring required. Slats included.",140,1,Taxable Goods,"Catalog, Search",1399,Allen-bed.jpg,,Allen-bed.jpg,,Allen-bed.jpg,,1000,1,0,"Allen-bed1.jpg,Allen-bed2.jpg,Allen-bed3.jpg,Allen-bed4.jpg,Allen-bed5.jpg,Allen-bed6.jpg,Allen-bed7.jpg",,25T-TOV-B28,louise velvet bed,"FULL: 59.3""W x 83""D x 62""H 
<br />QUEEN: 69.1''W x 87.8''D x 55.5''H
<br />KING: 81.3""W x 87""D x 62""H "
nl-000743,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Coffee Tables",base,Alma coffee table,"With a gorgeous geometric base, our Alma  coffee table adds eye-catching appeal as an accent piece in the modern home. Its hexagonal, glass top sits upon a striking metal base finished in your choice of brushed gold or polished stainless, and is also offered as a side table (sold separately).",150,1,Taxable Goods,"Catalog, Search",739,Alma-coffee-table.jpg,,Alma-coffee-table.jpg,,Alma-coffee-table.jpg,,1000,1,0,,,18N-HGTB466,myrtle coffee table,"41""¼ x 35""¾ x 15""¼"""
nl-000744,customOptionsSet,simple,"Default Category/Modern Furniture,Default Category/Modern Furniture/Modern Tables,Default Category/Modern Furniture/Modern Tables/Side Tables",base,Alma side table,"With a gorgeous geometric base, our Alma  side table adds eye-catching appeal as an accent piece in the modern home. Its hexagonal, glass top sits upon a striking metal base finished in your choice of brushed gold or polished stainless, and is also offered as a coffee table (sold separately).",100,1,Taxable Goods,"Catalog, Search",439,Alma-side-table.jpg,,Alma-side-table.jpg,,Alma-side-table.jpg,,1000,1,0,,,18N-HGTB467,myrtle side table,"23""¾ x 23""¾ x 21¾"""
nl-000760,customOptionsSet,simple,"Default Category/Lighting,Default Category/Lighting/Ceiling Lighting",base,Amchir ceiling lamp,"The Amchir Pendant Lamp is crafted from curvaceous waves of clean white, shaped into an elegant orb drop. Designed to beautifully enhance any room it illuminates, adding a modern element with just a hint of drama.
<p><strong>Features at a glance:</strong></p>
<ul>
<li>molded white polypropylene</li>
<li>chrome canopy</li>
<li>takes 3 x E26 medium base 60 watt bulbs (not included)</li>
</ul>",8,1,Taxable Goods,"Catalog, Search",299,Amchir-ceiling-lamp.jpg,,Amchir-ceiling-lamp.jpg,,Amchir-ceiling-lamp.jpg,,1000,1,0,Amchir-ceiling-lamp1.jpg,,18N-HGVF272,meringue ceiling lamp,"26"" x 26""
cable length: 51 1/4"""
